t_s,dx_km,dy_km,dz_km,dvx_km_s,dvy_km_s,dvz_km_s
55390.0,406.3672246321694,758.3458431442805,-212.97910099092263,-0.32992684723978566,0.3184981253746761,0.3249978823097498
55400.0,403.0584964213388,761.5169456694189,-209.72355054187565,-0.33181687730553167,0.31571990559153734,0.3261102143081523
55410.0,399.7309256722053,764.6601919764541,-206.45693672913018,-0.3336953396959091,0.3129268971805085,0.32721054497537194
55420.0,396.3846285064555,767.7754346366495,-203.1793798598169,-0.33556214520331173,0.3101191919393325,0.3282988154124297
55430.0,393.0197219365338,770.8625271432543,-199.89100082830527,-0.3374172048988512,0.3072968824589433,0.3293749670814856
55440.0,389.6363238629966,773.9213239195306,-196.59192111269476,-0.3392604301374185,0.30446006212229226,0.3304389418098344
55450.0,386.23455307185804,776.9516803267896,-193.2822627712952,-0.341091732562761,0.30160882510311193,0.3314906817939036
55460.0,382.8145292319288,779.9534526724451,-189.96214843910022,-0.3429110241125735,0.2987432663646152,0.33253012960325357
55470.0,379.3763728921521,782.9264982180799,-186.6317013242552,-0.3447182170236047,0.2958634816581292,0.3335572281845781
55480.0,375.92020547894,785.8706751875307,-183.29104520452282,-0.346513223836778,0.29296956752166314,0.33457192086570786
55490.0,372.4461492935122,788.7858427749916,-179.9403044237483,-0.34829595740232644,0.290061621278408,0.3355741513596124
55500.0,368.95432750923646,791.6718611531331,-176.57960388832188,-0.35006633088494116,0.28713974103517004,0.3365638637684047
55510.0,365.44486415705825,794.528591473878,-173.20906905499598,-0.3518242577687305,0.284204025683027,0.3375410025875474
55520.0,361.91788412781096,797.3558958800818,-169.8288259308744,-0.3535696518624319,0.2812545748947225,0.33850551270974016
55530.0,358.3735131798331,800.153637519735,-166.4390010773776,-0.3553024273047925,0.27829148912089996,0.3394573394287589
55540.0,354.8118779278204,802.9216805487227,-163.03972160056475,-0.3570224985696385,0.2753148695898785,0.3403964284436106
55550.0,351.23310583965537,805.659890138768,-159.63111514720302,-0.358729780471072,0.272324818305849,0.34132272586253826
55560.0,347.6373252331461,808.3681324853242,-156.21330990077024,-0.3604241881686769,0.2693214380470195,0.3422361782070244
55570.0,344.02466527267745,811.0462748154196,-152.7864345773934,-0.362105637172735,0.26630483236370833,0.3431367324157946
55580.0,340.39525596577744,813.6941853954528,-149.3506184217244,-0.36377404334945024,0.2632751055763842,0.34402433584881964
55590.0,336.74922815960304,816.3117335389467,-145.90599120275616,-0.36542932292618246,0.26023236277365297,0.3448989362913155
55600.0,333.08671353734655,818.8987896142573,-142.45268320958084,-0.36707139249668813,0.25717670981018925,0.3457604819577418
55610.0,329.4078446145672,821.4552250522435,-138.99082524709186,-0.36870016902637054,0.2541082533046136,0.34660892149579753
55620.0,325.7127547354501,823.9809123538965,-135.52054863163292,-0.3703155698575355,0.2510271006373127,0.3474442039904135
55630.0,322.0015780689964,826.4757250979359,-132.04198518659553,-0.3719175127146559,0.24793335994820295,0.3482662789677413
55640.0,318.27444960514634,828.9395379483681,-128.55526723796706,-0.37350591570964103,0.24482714013443632,0.34907509639913864
55650.0,314.53150515084025,831.3722266620144,-125.06052760983239,-0.37508069734711386,0.24170855084804732,0.3498706067051495
55660.0,310.772881326018,833.7736680960086,-121.55789961983012,-0.37664177652969283,0.2385777024935409,0.3506527607594801
55670.0,306.9987155595629,836.1437402152652,-118.04751707456658,-0.3781890725632795,0.23543470622541945,0.3514215098929693
55680.0,303.2091460851902,838.482322099923,-114.52951426498929,-0.3797225051623512,0.23227967394564952,0.35217680589755224
55690.0,299.4043119372855,840.789293952764,-111.00402596172204,-0.3812419944552584,0.22911271830106605,0.3529186010302196
55700.0,295.58435294669454,843.0645371066095,-107.47118741036407,-0.38274746098952617,0.22593395268071412,0.35364684801696805
55710.0,291.74940973646864,845.3079340316974,-103.93113432675514,-0.38423882573715895,0.2227434912131269,0.3543615000567444
55720.0,287.899623717568,847.5193683430414,-100.38400289220922,-0.38571601009995,0.21954144876353954,0.35506251082538254
55730.0,284.0351370845259,849.6987248077736,-96.82992974871813,-0.38717893591479213,0.21632794093103785,0.3557498344795309
55740.0,280.15609281107766,851.8458893524733,-93.2690519941283,-0.3886275254589926,0.21310308404564063,0.35642342566057256
55750.0,276.2626346457567,853.960749070485,-89.70150717729219,-0.3900617014555892,0.20986699516531548,0.35708323949853543
55760.0,272.3549071074604,856.0431922292267,-86.12743329319652,-0.39148138707866864,0.20661979207292683,0.35772923161599307
55770.0,268.43305548099033,858.0931082774893,-82.54696877806997,-0.39288650595868596,0.20336159327311562,0.3583613581319559
55780.0,264.49722581256765,860.110387852731,-78.96025250447222,-0.39427698218778556,0.2000925179891093,0.3589795756657511
55790.0,260.5475649053293,862.0949227883686,-75.3674237763662,-0.39565274032512204,0.19681268615946226,0.3595838413408924
55800.0,256.5842203148054,864.0466061210681,-71.76862232417665,-0.3970137054021818,0.1935222184347251,0.36017411278893774
55810.0,252.6073403443832,865.9653320980327,-68.16398829983596,-0.39835980292810413,0.19022123617404174,0.3607503481533355
55820.0,248.61707404075915,867.8509961842982,-64.55366227182056,-0.39969095889500245,0.18690986144167446,0.3613125060932584
55830.0,244.61357118938253,869.7034950700285,-60.93778522017941,-0.40100709978328286,0.18358821700345548,0.36186054578742394
55840.0,240.5969823098941,871.5227266778207,-57.316498531557045,-0.4023081525669634,0.18025642632316405,0.3623944269379028
55850.0,236.567458651562,873.3085901700186,-53.689943994212896,-0.40359404471899,0.17691461355882862,0.362914109773912
55860.0,232.52515218246904,875.0609859503636,-50.05826378880212,-0.4048647042164398,0.17356290356024104,0.36341955505571266
55870.0,228.47021557956057,876.7798156668475,-46.42160047967111,-0.40612005954571306,0.1702014218662519,0.36391072407846314
