sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s,run_ok,run_error
1e-15,0.10476513562941878,0.00014090714119551392,0.22236786521317542,0.00013111588467892393,True,
1.21152765862859e-14,0.10476513558721909,0.00014090714112864684,0.22236786502406974,0.00013111588452371684,True,
1.4677992676220675e-13,0.1047651301897515,0.00014090713255300043,0.22236783734160204,0.0001311158607523934,True,
1.7782794100389228e-12,0.10476423380759045,0.00014090571148244464,0.2223637989431345,0.00013111254210400656,True,
2.1544346900318777e-11,0.10463465779116347,0.00014070011414042154,0.22177997345188155,0.0001306326104633585,True,
2.6101572156825333e-10,0.09739854234879061,0.00012824226696902524,0.19085539775703553,0.0001053572488676586,True,
3.1622776601683795e-09,0.04078444675801705,4.254123553872852e-05,0.07785308574312509,4.622590573991122e-05,True,
3.831186849557285e-08,0.0051029193065692865,6.510513875837531e-06,0.041809287900914725,2.3329970909141167e-05,True,
4.6415888336127725e-07,0.0011778738068548525,1.5287084351057642e-06,0.04237041934867561,2.4274490438002796e-05,True,
5.623413251903491e-06,0.0009845497431476033,9.006654849925244e-07,0.02537329866180218,2.2615371861359575e-05,True,
6.812920690579595e-05,0.0009844311607259122,6.877399051776728e-07,0.03759096066809402,2.9443403098864e-05,True,
0.0008254041852680173,0.0009843683137437515,2.5754176245022787e-07,0.2075257616371167,0.00017361974250168038,True,
0.01,0.0009816961107043279,8.549388351847266e-09,9.468324016330246,0.008867525975743135,True,
