label,BdotT_km,BdotR_km,rp_km,rp_alt_km,sigma_T_km,sigma_R_km
Forward IEKF Seed,4600.129267338251,4849.136783273816,3941.4718472406944,-2436.6644527593057,303.7235845921904,791.5744040714125
Smoothed IEKF Seed,4691.477579187103,5077.69434656494,4142.90432899764,-2235.2319710023603,302.0078039120667,787.5785500364185
