sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s,run_ok,run_error,num_updates,num_skips
1e-15,1713.4343407069443,1.1154933835805592,10511.094867421602,5.511950039451335,True,,4136,1990
1e-14,1713.4339051699587,1.1154933134724003,10511.094258598838,5.511949448984093,True,,4136,1990
1e-13,1713.4393475757684,1.1154941932483642,10511.101829310934,5.511956788497243,True,,4136,1990
1e-12,1713.458561875962,1.115497202755201,10511.12938839523,5.511983629079733,True,,4136,1990
1e-11,1717.7910101700018,1.1156804939623397,10513.914419069337,5.515556757840244,True,,4137,1989
1e-10,2141.820485526945,1.1697123407304657,10686.747902178173,5.579933769358115,True,,4169,1957
1e-09,2548.386088733836,0.9630513686703065,13007.753256577558,4.640341644571415,True,,4517,1609
1e-08,15.9102628840719,0.00944637760655888,27.842330797541567,0.0233775616708483,True,,6114,12
1e-07,0.007559271240962299,1.2889170485987237e-05,0.45973944223755514,0.00035021325124726555,True,,6126,0
1e-06,0.0011313309805458516,2.231464981733839e-06,0.32521735055142664,0.00027824135235021686,True,,6126,0
1e-05,0.0009844527893158117,8.776093298455734e-07,0.23067239281424745,0.0001888755385404706,True,,6126,0
0.0001,0.0009844127627524587,6.354859421485724e-07,0.11600558782763841,6.232294790047685e-05,True,,6126,0
0.001,0.09337167720210135,2.8225837913618225e-06,78.96242399917057,0.08527707837826043,True,,6105,21
0.01,143.39145354902791,0.0011265640227797527,436344.4170912673,258.37281937091336,True,,1541,4585
