filter,pos3_all_km,pos3_ignore_first_km,vel3_all_km_s,vel3_ignore_first_km_s,postfit_rho_all_km,postfit_rhodot_all_km_s,postfit_rho_ignore_first_km,postfit_rhodot_ignore_first_km_s
EKF,7.761529676736633,7.74605737263258,0.004625329019306889,0.004587578720149711,0.1324192757799248,0.0001589016354452896,0.13242771866167416,0.00015891449954919893
UKF,7.728419393780999,7.712875273170895,0.004590467748139597,0.004552422564417439,0.09404579578427671,0.0001228099622796502,0.09405016590346132,0.00012281984686121476
