station,t,rho_km,rho_dot_km_s,elev_rad
Station 1,84400.0,5046.713399275597,0.8180141988963391,0.5553303774005279
Station 1,84410.0,5055.084767934248,0.8562253098207278,0.5527589238368099
Station 1,84420.0,5063.837206126591,0.894226655824402,0.5500811234675343
Station 1,84430.0,5072.968573480887,0.9320097486761495,0.5472989419564112
Station 1,84440.0,5082.476646023647,0.9695663375318532,0.5444143934265876
Station 1,84450.0,5092.359118476015,1.0068884146787282,0.5414295359573811
Station 1,84460.0,5102.6136067138905,1.0439682206620704,0.5383464671176424
Station 1,84470.0,5113.237650275974,1.0807982488361807,0.535167319538009
Station 1,84480.0,5124.22871491399,1.117371249341548,0.5318942565380111
Station 1,84490.0,5135.58419517943,1.1536802325124196,0.5285294678229385
Station 1,84500.0,5147.301417041179,1.1897184717209472,0.5250751652642474
Station 1,84510.0,5159.377640528463,1.225479505665929,0.5215335787761545
Station 1,84520.0,5171.810062393647,1.260957140116035,0.5179069522998722
Station 1,84530.0,5184.595818789524,1.296145449119021,0.5141975399057694
Station 1,84540.0,5197.731987955876,1.3310387756900286,0.5104076020225566
Station 1,84550.0,5211.21559291014,1.3656317319934828,0.5065394018014363
Station 1,84560.0,5225.043604137365,1.3999191990344346,0.5025952016219698
Station 1,84570.0,5239.212942274524,1.4338963258763344,0.49857725974537176
Station 1,84580.0,5253.720480784669,1.4675585284032917,0.4944878271197835
Station 1,84590.0,5268.5630486164755,1.5009014876457873,0.49032914434109726
Station 1,84600.0,5283.737432844962,1.533921147689573,0.4861034387718881
Station 1,84610.0,5299.240381289321,1.5666137131882123,0.48181292182009183
Station 1,84620.0,5315.068605104089,1.5989756465001415,0.47745978637818676
Station 1,84630.0,5331.218781339958,1.6310036644716381,0.4730462044228405
Station 1,84640.0,5347.687555470965,1.6626947348873662,0.46857432477417055
Station 1,84650.0,5364.471543884713,1.694046072610277,0.4640462710131779
Station 1,84660.0,5381.567336332786,1.7250551354327965,0.4594641395551742
Station 1,84670.0,5398.971498338538,1.7557196196611802,0.45482999787653217
Station 1,84680.0,5416.6805735597645,1.7860374554547864,0.45014588289154533
Station 1,84690.0,5434.691086103905,1.8160068019417959,0.4454137994757464
Station 1,84700.0,5452.999542793704,1.8456260421326367,0.44063571913164423
Station 1,84710.0,5471.602435381412,1.8748937776519927,0.43581357879249777
Station 1,84720.0,5490.496242709848,1.9038088233098112,0.43094927975946923
Station 1,84730.0,5509.677432818825,1.9323702015312778,0.4260446867672555
Station 1,84740.0,5529.142464995643,1.960577136665071,0.4211016271731244
Station 1,84750.0,5548.887791768553,1.988429049188729,0.416121890264122
Station 1,84760.0,5568.909860842246,2.0159255498291806,0.411107226677125
Station 1,84770.0,5589.205116974648,2.043066433615893,0.40605934792634696
Station 1,84780.0,5609.770003790387,2.069851673885874,0.40097992603229005
Station 1,84790.0,5630.600965371028,2.096281416363664,0.3958705932230175
Station 1,84800.0,5651.6944481145165,2.122355973019529,0.39073294177350665
Station 1,84810.0,5673.04690240295,2.1480758159854103,0.3855685239140567
Station 1,84820.0,5694.654784108255,2.1734415715543394,0.38037885180341163
Station 1,84830.0,5716.514556106248,2.1984540141605122,0.375165397586865
Station 1,84840.0,5738.622689730168,2.2231140603935713,0.3699295935245424
Station 1,84850.0,5760.975666164128,2.2474227630584043,0.36467283218492896
Station 1,84860.0,5783.569977777039,2.2713813052909675,0.3593964666988464
Station 1,84870.0,5806.402129397659,2.294990994739901,0.35410181106923155
Station 1,84880.0,5829.468639531507,2.3182532578229056,0.34879014053223334
Station 1,84890.0,5852.766041520418,2.3411696340661083,0.34346269196531737
Station 1,84900.0,5876.290884645805,2.3637417705339407,0.3381206643382012
Station 1,84910.0,5900.039735176388,2.385971416356292,0.332765219202689
Station 1,84920.0,5924.009177361602,2.4078604173590925,0.3273974812175755
Station 1,84930.0,5948.19581437172,2.42941071080374,0.3220185387050168
Station 1,84940.0,5972.596269185839,2.4506243202401943,0.3166294442349255
Station 1,84950.0,5997.2071854289225,2.471503350477953,0.31123121523412745
Station 1,84960.0,6022.025228159171,2.4920499826785254,0.3058248346171893
Station 1,84970.0,6047.047084606942,2.512266469572456,0.30041125143600733
Station 1,84980.0,6072.269464866486,2.532155130803468,0.2949913815454157
Station 1,84990.0,6097.689102541948,2.5517183484017445,0.28956610828220947
Station 1,85000.0,6123.302755348784,2.5709585623879296,0.2841362831552
Station 1,85010.0,6149.107205672055,2.589878266508972,0.2787027265440113
Station 1,85020.0,6175.099261082924,2.6084800041065357,0.27326622840451836
Station 1,85030.0,6201.275754814691,2.6267663641182852,0.2678275489789583
Station 1,85040.0,6227.633546199736,2.6447399772120397,0.26238741950889066
Station 1,85050.0,6254.169521068729,2.6624035120523972,0.25694654294931907
Station 1,85060.0,6280.88059211344,2.6797596716991543,0.25150559468241074
Station 1,85070.0,6307.763699214462,2.6968111901365903,0.2460652232293794
Station 1,85080.0,6334.815809735232,2.713560828932339,0.2406260509592135
Station 1,85090.0,6362.033918783587,2.7300113740244205,0.23518867479304287
Station 1,85100.0,6389.415049442195,2.7461656326347534,0.22975366690304247
Station 1,85110.0,6416.956252969102,2.7620264303072455,0.224321575404879
Station 1,85120.0,6444.6546089696585,2.7775966080684484,0.21889292504279198
Station 1,85130.0,6472.507225541057,2.7928790197085376,0.2134682178665022
Station 1,85140.0,6500.511239390653,2.80787652918031,0.20804793389921516
Station 1,85150.0,6528.663815887569,2.822592008143201,0.20263253179017968
Station 1,85160.0,6556.9621490078125,2.8370283336867863,0.1972224494443799
Station 1,85170.0,6585.403461616537,2.851188385906304,0.19181810469299448
Station 1,85180.0,6613.985005392495,2.865075045813322,0.18641989590663907
Station 1,85190.0,6642.704060814701,2.8786911933014867,0.18102820260765917
Station 1,85200.0,6671.557937143736,2.8920397052047537,0.175643386072594
Station 2,88930.0,6648.615541118219,-3.611213274444978,0.17687815572345345
Station 2,88940.0,6612.5278992543745,-3.6062810938370573,0.18361770697417829
Station 2,88950.0,6576.490604740978,-3.601143218271125,0.1903987308066678
Station 2,88960.0,6540.505732258542,-3.5957960902728643,0.19722182757897122
Station 2,88970.0,6504.575392449145,-3.5902360748132742,0.20408760590999284
Station 2,88980.0,6468.70173269875,-3.584459457823718,0.21099668268379773
Station 2,88990.0,6432.886937934379,-3.5784624447093245,0.21794968304459322
Station 2,89000.0,6397.133231436148,-3.5722411588633003,0.22494724038164762
Station 2,89010.0,6361.442875664201,-3.5657916401848944,0.23198999630335926
Station 2,89020.0,6325.818173100526,-3.5591098436040314,0.2390786005996448
Station 2,89030.0,6290.261467105584,-3.5521916376159073,0.246213711191754
Station 2,89040.0,6254.775142789771,-3.5450328028290867,0.2533959940685692
Station 2,89050.0,6219.361627899397,-3.5376290305309697,0.2606261232083984
Station 2,89060.0,6184.023393717287,-3.5299759212748048,0.26790478048518374
Station 2,89070.0,6148.76295597761,-3.522068983492762,0.27523265555801046
Station 2,89080.0,6113.582875794806,-3.5139036321399164,0.2826104457427158
Station 2,89090.0,6078.485760606278,-3.5054751873744125,0.290038855864329
Station 2,89100.0,6043.474265128499,-3.496778873279446,0.2975185980889978
Station 2,89110.0,6008.551092326201,-3.487809816633097,0.30505039173397835
Station 2,89120.0,5973.718994394086,-3.4785630457325745,0.31263496305417376
Station 2,89130.0,5938.980773750644,-3.469033489279818,0.3202730450036144
Station 2,89140.0,5904.3392840433535,-3.4592159753359013,0.3279653769702089
Station 2,89150.0,5869.797431164699,-3.4491052303522722,0.3357127044819327
Station 2,89160.0,5835.358174278214,-3.4386958782873185,0.3435157788825817
Station 2,89170.0,5801.024526853677,-3.427982439817344,0.3513753569750663
Station 2,89180.0,5766.799557574138,-3.4169593317176523,0.3592922006154818
Station 2,89190.0,5732.686391369966,-3.4056208662883227,0.36726707628535465
Station 2,89200.0,5698.68821070235,-3.3939612508001993,0.37530075464844853
Station 2,89210.0,5664.808256479271,-3.3819745872600606,0.38339401002548923
Station 2,89220.0,5631.049829110405,-3.369654872252371,0.3915476198403202
Station 2,89230.0,5597.416289563443,-3.3569959969430716,0.39976236401884124
Station 2,89240.0,5563.911060419178,-3.3439917472596177,0.408039024337651
Station 2,89250.0,5530.537626923524,-3.3306358042616813,0.4163783837192531
Station 2,89260.0,5497.299538034482,-3.3169217447177344,0.4247812254705001
Station 2,89270.0,5464.200407462007,-3.3028430419035364,0.43324833246076705
Station 2,89280.0,5431.243914698416,-3.2883930666393377,0.4417804862361316
Station 2,89290.0,5398.433806036921,-3.273565088583469,0.45037846606563714
Station 2,89300.0,5365.7738955756495,-3.258352277800791,0.459043047915475
Station 2,89310.0,5333.268066204347,-3.24274770662537,0.46777500334668987
Station 2,89320.0,5300.920270570711,-3.2267443518375316,0.47657509833174905
Station 2,89330.0,5268.734532023186,-3.21033509717637,0.4854440919850435
Station 2,89340.0,5236.714945526748,-3.1935127362095423,0.4943827352020999
Station 2,89350.0,5204.865678548034,-3.1762699755830774,0.5033917692019658
