t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
9.57000000000000000e+04,5.07069014594946930e+03,3.12043555568393804e+00,3.13297094975839521e+01,1,-3.98123668238449255e+01,1.81074296821111773e+02,3.62314150575484200e+03
9.57100000000000000e+04,5.10198552461922282e+03,3.13879392192964346e+00,3.07884509001482662e+01,1,-3.98373640878220101e+01,1.81502330473404015e+02,3.62310588102132897e+03
9.57200000000000000e+04,5.13346299492942762e+03,3.15671104438504369e+00,3.02517136585993285e+01,1,-3.98604646027740657e+01,1.81930696542594546e+02,3.62307014648036238e+03
9.57300000000000000e+04,5.16511966334156841e+03,3.17419304117390855e+00,2.97194442705789683e+01,1,-3.98816654971776714e+01,1.82359369522974390e+02,3.62303430365930944e+03
9.57400000000000000e+04,5.19694749425327700e+03,3.19125291777117415e+00,2.91915889804236706e+01,1,-3.99009641276271338e+01,1.82788323759346383e+02,3.62299835408130639e+03
9.57500000000000000e+04,5.22894462650427158e+03,3.20789329177806293e+00,2.86680938501699529e+01,1,-3.99183580803086855e+01,1.83217533459215645e+02,3.62296229926518572e+03
9.57600000000000000e+04,5.26110495171329057e+03,3.22412294369042751e+00,2.81489048258971479e+01,1,-3.99338451723502459e+01,1.83646972705135198e+02,3.62292614072541619e+03
9.57700000000000000e+04,5.29342277711866427e+03,3.23994794270056818e+00,2.76339677996428819e+01,1,-3.99474234530447490e+01,1.84076615467195182e+02,3.62288987997199729e+03
9.57800000000000000e+04,5.32590154187430744e+03,3.25538172573050533e+00,2.71232286671179885e+01,1,-3.99590912049455298e+01,1.84506435615641294e+02,3.62285351851042287e+03
9.57900000000000000e+04,5.35853044296731969e+03,3.27042285357494489e+00,2.66166333814378220e+01,1,-3.99688469448323076e+01,1.84936406933607770e+02,3.62281705784158476e+03
9.58000000000000000e+04,5.39130784832146674e+03,3.28508216163285605e+00,2.61141280030764165e+01,1,-3.99766894245461941e+01,1.85366503129951298e+02,3.62278049946171632e+03
9.58100000000000000e+04,5.42423213701720033e+03,3.29936501839718366e+00,2.56156587462426479e+01,1,-3.99826176316931168e+01,1.85796697852170382e+02,3.62274384486232702e+03
9.58200000000000000e+04,5.45729501965461350e+03,3.31328172397634280e+00,2.51211720218669790e+01,1,-3.99866307902141145e+01,1.86226964699396433e+02,3.62270709553012784e+03
9.58300000000000000e+04,5.49049618701235431e+03,3.32683502186512658e+00,2.46306144773805329e+01,1,-3.99887283608222432e+01,1.86657277235440404e+02,3.62267025294697669e+03
9.58400000000000000e+04,5.52382873915353139e+03,3.34003706911347287e+00,2.41439330334595468e+01,1,-3.99889100413050613e+01,1.87087609001880850e+02,3.62263331858981473e+03
9.58500000000000000e+04,5.55729697774110991e+03,3.35288532951960194e+00,2.36610749179004358e+01,1,-3.99871757666927010e+01,1.87517933531177647e+02,3.62259629393059549e+03
9.58600000000000000e+04,5.59088795909423970e+03,3.36539366420422503e+00,2.31819876967839278e+01,1,-3.99835257092909870e+01,1.87948224359796598e+02,3.62255918043624115e+03
9.58700000000000000e+04,5.62460410154626152e+03,3.37756675063138267e+00,2.27066193030784795e+01,1,-3.99779602785796300e+01,1.88378455041329033e+02,3.62252197956857344e+03
9.58800000000000000e+04,5.65843738791096257e+03,3.38940643376390227e+00,2.22349180628276244e+01,1,-3.99704801209758784e+01,1.88808599159592234e+02,3.62248469278426273e+03
9.58900000000000000e+04,5.69238922863094558e+03,3.40092506621905732e+00,2.17668327190578381e+01,1,-3.99610861194635447e+01,1.89238630341694062e+02,3.62244732153476798e+03
9.59000000000000000e+04,5.72645478219533379e+03,3.41212850961081893e+00,2.13023124535382280e+01,1,-3.99497793930881500e+01,1.89668522271047863e+02,3.62240986726629490e+03
9.59100000000000000e+04,5.76063107368634792e+03,3.42301421528153638e+00,2.08413069065169836e+01,1,-3.99365612963190557e+01,1.90098248700321903e+02,3.62237233141973411e+03
9.59200000000000000e+04,5.79491397536612294e+03,3.43359597313990594e+00,2.03837661945520239e+01,1,-3.99214334182790651e+01,1.90527783464309294e+02,3.62233471543061751e+03
9.59300000000000000e+04,5.82930325393666317e+03,3.44387560641594348e+00,1.99296409265507393e+01,1,-3.99043975818428223e+01,1.90957100492702438e+02,3.62229702072906548e+03
9.59400000000000000e+04,5.86379147754058431e+03,3.45386156839770164e+00,1.94788822181248733e+01,1,-3.98854558426050190e+01,1.91386173822758622e+02,3.62225924873974691e+03
9.59500000000000000e+04,5.89837758247153579e+03,3.46355606652632897e+00,1.90314417043636190e+01,1,-3.98646104877202134e+01,1.91814977611842068e+02,3.62222140088182277e+03
9.59600000000000000e+04,5.93306017036221147e+03,3.47296436137724518e+00,1.85872715511215212e+01,1,-3.98418640346152273e+01,1.92243486149828300e+02,3.62218347856892069e+03
9.59700000000000000e+04,5.96783551167634323e+03,3.48209719824753172e+00,1.81463244649138993e+01,1,-3.98172192295764091e+01,1.92671673871357569e+02,3.62214548320907306e+03
9.59800000000000000e+04,6.00270059662972380e+03,3.49095348584644194e+00,1.77085537015072099e+01,1,-3.97906790462133628e+01,1.93099515367923487e+02,3.62210741620469707e+03
9.59900000000000000e+04,6.03765441528368228e+03,3.49953917771370104e+00,1.72739130732875381e+01,1,-3.97622466838011377e+01,1.93526985399784053e+02,3.62206927895253648e+03
9.60000000000000000e+04,6.07269356919182701e+03,3.50786298757888915e+00,1.68423569554859434e+01,1,-3.97319255655033743e+01,1.93954058907682480e+02,3.62203107284363432e+03
9.60100000000000000e+04,6.10781216779986244e+03,3.51592475917131431e+00,1.64138402913356032e+01,1,-3.96997193364784309e+01,1.94380711024365553e+02,3.62199279926330382e+03
9.60200000000000000e+04,6.14300869455096108e+03,3.52373203944726887e+00,1.59883185962313146e+01,1,-3.96656318618712476e+01,1.94806917085887591e+02,3.62195445959108110e+03
