station,t,rho_km,rho_dot_km_s,elev_rad
Station 3,63130.0,5716.718828856352,0.6826834999701217,0.37461329106724306
Station 3,63140.0,5723.702703416664,0.7140650709650311,0.37296888806989176
Station 3,63150.0,5730.999594194338,0.7452858310485275,0.37125410752212423
Station 3,63160.0,5738.607865957213,0.7763403760583585,0.3694698221693348
Station 3,63170.0,5746.525830061,0.8072234291071907,0.3676169293621507
Station 3,63180.0,5754.751745738209,0.8379298433884046,0.36569634969471887
Station 3,63190.0,5763.283821413629,0.8684546047543551,0.36370902563133367
Station 3,63200.0,5772.120216044038,0.8987928340663516,0.3616559201252275
Station 3,63210.0,5781.259040479971,0.9289397893162772,0.3595380152332884
Station 3,63220.0,5790.698358847215,0.9588908675204815,0.3573563107303608
Station 3,63230.0,5800.436189945878,0.9886416063870602,0.3551118227266475
Station 3,63240.0,5810.470508664746,1.0181876857583343,0.3528055822916288
Station 3,63250.0,5820.799247408753,1.0475249288308808,0.35043863408775333
Station 3,63260.0,5831.420297537401,1.0766493031560027,0.3480120350170195
Station 3,63270.0,5842.33151081193,1.1055569214240268,0.34552685288339635
Station 3,63280.0,5853.530700849223,1.1342440420363578,0.34298416507388146
Station 3,63290.0,5865.015644580291,1.1627070694696136,0.3403850572608122
Station 3,63300.0,5876.784083711392,1.1909425544366314,0.3377306221278765
Station 3,63310.0,5888.833726185727,1.218947193849535,0.335021958122095
Station 3,63320.0,5901.162247643902,1.2467178305903701,0.33226016823386445
Station 3,63330.0,5913.767292881223,1.2742514530952116,0.32944635880696915
Station 3,63340.0,5926.646477300019,1.3015451947578744,0.32658163838029347
Station 3,63350.0,5939.797388355311,1.3285963331597015,0.32366711656279146
Station 3,63360.0,5953.217586992106,1.3554022891320603,0.3207039029430819
Station 3,63370.0,5966.904609072707,1.3819606256584414,0.3176931060348782
Station 3,63380.0,5980.855966792538,1.4082690466231669,0.3146358322592849
Station 3,63390.0,5995.069150082977,1.4343253954139314,0.31153318496483035
Station 3,63400.0,6009.541627999831,1.4601276533854206,0.3083862634859496
