sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s
1e-15,0.14305685731996173,0.0001912750867075125,0.24083932370986494,0.0001325086410297154
1.21152765862859e-14,0.14305685648054786,0.00019127508673977788,0.24083932439401604,0.00013250864046636341
1.4677992676220675e-13,0.1430567332873305,0.00019127509140294392,0.2408394247147061,0.0001325085578716019
1.7782794100389228e-12,0.14303915935202655,0.0001912757452215043,0.24085443043316024,0.0001324967961160716
2.1544346900318777e-11,0.14248882515072017,0.00019108504640918866,0.24258760618467526,0.00013242652458923424
2.6101572156825333e-10,0.13365801874004363,0.00017622877434956676,0.23759078323351882,0.00012980605493417578
3.1622776601683795e-09,0.10499285978447247,0.00014721639755457973,0.3056790237074803,0.00016030285875867016
3.831186849557285e-08,0.09582645124815414,0.00011420624953911735,0.5094077863143488,0.0003511373242108733
4.6415888336127725e-07,0.04007954071474767,7.799176215200628e-05,0.7331788480326233,0.0005530280684200399
5.623413251903491e-06,0.0023352207741352262,2.3002990036963646e-05,1.8620185798813975,0.0008262667644072199
6.812920690579595e-05,0.0009844615250042877,1.6501905080562159e-06,1.82711068093499,0.0007262613448122899
0.0008254041852680173,0.000984279169237335,2.9293372422146834e-08,1.8376119043562977,0.0007519463699736036
0.01,0.0009842248267092385,4.906421838611978e-09,2.771542433906505,0.0010347469062710465
