epoch_hr,state,sigma,mean,nominal
0.0,x_km,1.0066772455425523,6743.261921784204,6743.25
0.0,y_km,1.0017315537768139,0.041123128711017094,0.0
0.0,z_km,1.0201972449079066,0.004781428529056444,0.0
0.0,vx_km_s,0.0009967168491565386,1.4976748469054665e-05,-0.0
0.0,vy_km_s,0.0009899772546357922,6.6616527125378875,6.661651783670155
0.0,vz_km_s,0.0010117499509421414,3.8461224662670968,3.846106450549514
4.0,x_km,49.75042654484962,-5045.7687655171785,-5045.238659811007
4.0,y_km,43.432839521741194,-3845.1663007215225,-3846.107573772324
4.0,z_km,24.546867024367266,-2276.42412202029,-2276.967763857539
4.0,vx_km_s,0.06105465122864048,5.100314799209676,5.101495182697976
4.0,vy_km_s,0.0427748579581906,-5.015032498777028,-5.014637463801442
4.0,vz_km_s,0.025564413280408635,-2.8339861841206044,-2.8337177916830565
8.0,x_km,130.62723815540025,820.2526295953741,818.4204826269766
8.0,y_km,13.192412619154934,5788.364640542122,5789.654573153438
8.0,z_km,4.6033348795035165,3353.765392120807,3354.458131150689
8.0,vx_km_s,0.01988519393806887,-7.631709005902579,-7.633501611070787
8.0,vy_km_s,0.13025596635420664,0.8880243527697157,0.8862967015578431
8.0,vz_km_s,0.07590701589163913,0.33021944324128855,0.3291534927718939
12.0,x_km,168.72272847295932,3823.5939063220812,3827.9058879364293
12.0,y_km,99.94962598320805,-4867.497899840782,-4868.27916702092
12.0,z_km,63.78717858839651,-2664.2098703837223,-2664.4885875228033
12.0,vx_km_s,0.13212474078153885,6.32757934354804,6.328562417741191
12.0,vy_km_s,0.16855940258908816,3.6822521182383348,3.686415101177044
12.0,vz_km_s,0.0927416869833686,2.34821319362842,2.3506681388535773
16.0,x_km,60.5191897570509,-6532.4603024059,-6538.60409961037
16.0,y_km,226.35923903007134,1535.67088715931,1533.4921720373197
16.0,z_km,133.39691100459254,571.3437318488704,569.7739824548046
16.0,vx_km_s,0.29816964132919443,-1.8429612806597075,-1.8402615121056203
16.0,vy_km_s,0.0737032289083756,-6.432215778630196,-6.438406400623769
16.0,vz_km_s,0.02839904591657459,-3.7888104321603913,-3.792255525386674
20.0,x_km,157.40906014921555,5955.351279315263,5960.453495634556
20.0,y_km,261.92104440973964,2561.1409795035424,2568.2556834220445
20.0,z_km,141.36324620512892,1822.7960724558045,1827.2123264390952
20.0,vx_km_s,0.3401112049801071,-3.5659137152006193,-3.575402244943018
20.0,vy_km_s,0.14702347641277794,5.990422082437661,5.995756541572931
20.0,vz_km_s,0.10501834396646556,3.2277406972316114,3.230237281622249
24.0,x_km,383.37001195548993,-2374.071071851496,-2372.717412495658
24.0,y_km,135.09556500892708,-5389.478273245367,-5401.390877658123
24.0,z_km,50.41656667459831,-3252.5034129901533,-3259.2589747813095
24.0,vx_km_s,0.16721485361248803,7.169061490866704,7.184619971060129
24.0,vy_km_s,0.37120359055681024,-2.5767882797918094,-2.5762830978414497
24.0,vz_km_s,0.2253190031296013,-0.964322854168396,-0.9628979190291468
