metric,all,ignore_first_pass
x [m],138.32344130636926,138.00539245375703
y [m],135.59097791334824,126.9479980952672
z [m],164.44921245027064,164.04465612882888
vx [m/s],0.08069602373124743,0.07667029993894119
vy [m/s],0.04224074499702782,0.03747899965705138
vz [m/s],0.09085594108194255,0.09250985419134608
||r||_2 [m],254.09020284507002,249.14239256123642
||v||_2 [m/s],0.12865042096248036,0.12586136591712566
