component,X0_star,delta_x0_plus,X0_hat_epoch
x_km,-3515.49032703351,-0.031887817575437426,-3515.522214851085
y_km,8390.716310243391,-0.12336085903853924,8390.592949384352
z_km,4127.627352553682,-0.020345215415568992,4127.607007338266
vx_km_s,-4.357676322178153,-5.140515624627381e-05,-4.3577277273343995
vy_km_s,-3.3565791387645496,-3.0337778936486985e-05,-3.356609476543486
vz_km_s,3.111892927869902,2.752167304357017e-05,3.1119204495429456
