case,day_target,day_selected,BdotT_km,BdotR_km,sigma_T_km,sigma_R_km
Forward Station IEKF,50.0,51.791666666666664,10472.769396358426,15242.812779949936,347.65917255442,118.68831262984737
Forward Station IEKF,100.0,98.65972222222223,9736.579940472537,14991.52929079182,126.7433413452558,50.293159117913746
Forward Station IEKF,150.0,150.0,9468.66997337028,14891.018723297748,282.443674506079,109.29342894875793
Forward Station IEKF,200.0,201.5,9769.06189530906,15083.462166110738,29.737768411912064,56.72692707328972
Forward Station IEKF,250.0,247.4162962962963,9798.970639275964,8121.505425717563,18.93591010696508,36.78690449393962
