epoch_hr,state,sigma,mean,nominal
0.0,x_km,1.0066772455425523,6743.261921784204,6743.25
0.0,y_km,1.0017315537768139,0.041123128711017094,0.0
0.0,z_km,1.0201972449079066,0.004781428529056444,0.0
0.0,vx_km_s,0.0009967168491565386,1.4976748469054665e-05,-0.0
0.0,vy_km_s,0.0009899772546357922,6.6616527125378875,6.661651783670155
0.0,vz_km_s,0.0010117499509421414,3.8461224662670968,3.846106450549514
4.0,x_km,49.74810973571387,-5045.82740094223,-5045.297281256675
4.0,y_km,43.431854670750525,-3845.1176800162,-3846.0589518015777
4.0,z_km,24.546328657525013,-2276.3967420293234,-2276.9403831917057
4.0,vx_km_s,0.06105300785381548,5.100242595107112,5.101422976025728
4.0,vy_km_s,0.042772566159210684,-5.015082807992502,-5.014687755584356
4.0,vz_km_s,0.0255630641430639,-2.834016244790472,-2.8337478423550704
8.0,x_km,130.61610072138774,820.5799442059285,818.747783844836
8.0,y_km,13.197065047697446,5788.337987251146,5789.6278208708045
8.0,z_km,4.606194059213883,3353.757926938501,3354.450609150367
8.0,vx_km_s,0.019890630882384446,-7.631656544003564,-7.633449023874911
8.0,vy_km_s,0.13024457161501854,0.8883449719549444,0.8866172974973726
8.0,vz_km_s,0.07590055409295038,0.3304062958487567,0.32934033460628187
12.0,x_km,168.71758121473832,3822.9976119614807,3827.309217071452
12.0,y_km,99.92222240819791,-4867.866867497338,-4868.6479723848215
12.0,z_km,63.7711412451666,-2664.4444078029132,-2664.7230458020504
12.0,vx_km_s,0.13208853032356346,6.328048691606621,6.329031524013669
12.0,vy_km_s,0.1685519621542636,3.681637847291824,3.685800469897664
12.0,vz_km_s,0.09273872328050423,2.34787500644159,2.3503297356735438
16.0,x_km,60.56046962804992,-6532.172326136412,-6538.315062269304
16.0,y_km,226.31284952984237,1536.7763410136001,1534.5980708563127
16.0,z_km,133.3721673302902,571.9948117029536,570.4253712699417
16.0,vx_km_s,0.29810688132720714,-1.8444148208681563,-1.8417156111924338
16.0,vy_km_s,0.07374157145268083,-6.431862436253469,-6.4380519229541715
16.0,vz_km_s,0.028424027735217683,-3.788676265013759,-3.7921207315903573
20.0,x_km,157.28750896452345,5956.337727637019,5961.439443752207
20.0,y_km,261.9115574077534,2559.5525336706773,2566.6649112066802
20.0,z_km,141.3651512728844,1821.9411348436602,1826.3560175629377
20.0,vx_km_s,0.3400985960903042,-3.563832274996723,-3.573317790941394
20.0,vy_km_s,0.14690428609737158,5.991301108307115,5.996634901261494
20.0,vz_km_s,0.10494871460619631,3.2283719045466834,3.230868291462378
24.0,x_km,383.2220210905962,-2376.8490564504023,-2375.4988638861473
24.0,y_km,135.2080200320478,-5388.521886160391,-5400.430469095911
24.0,z_km,50.491012340767526,-3252.1535375152375,-3258.9070391985647
24.0,vx_km_s,0.16736518351983398,7.167854841046308,7.183407927541488
24.0,vy_km_s,0.37104680339859125,-2.57948439727928,-2.578982369060439
24.0,vz_km_s,0.2252397304762854,-0.9659593131814072,-0.964536594079503
