sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s,run_ok,run_error
1e-15,6.473529923330068,0.008669810575796955,15.51525504736543,0.009798251549365866,True,
1.21152765862859e-14,6.473529918849089,0.008669810569306784,15.515255034858896,0.00979825154118812,True,
1.4677992676220675e-13,6.473529186343817,0.0086698095121656,15.515253059326337,0.009798250309613756,True,
1.7782794100389228e-12,6.473432474827655,0.00866966963876437,15.514985594028149,0.009798076898912165,True,
2.1544346900318777e-11,6.45929079532738,0.008649223587270752,15.475887310897791,0.009772741181352108,True,
2.6101572156825333e-10,5.241156755448235,0.006918786811814197,12.085395103496742,0.007548110848181577,True,
3.1622776601683795e-09,2.1188081162678527,0.002534057811502767,4.094643169745345,0.002349323322456914,True,
3.831186849557285e-08,0.4961843474437125,0.0005647454836690224,1.1813837885379717,0.0009496346025266506,True,
4.6415888336127725e-07,0.05887318014725287,0.000166619606214963,1.310796088545366,0.0009805270788608843,True,
5.623413251903491e-06,0.0031264721834810064,1.3676000530911792e-05,1.4426092417703498,0.001064270775059284,True,
6.812920690579595e-05,0.0009915786608606831,1.0169266783487234e-06,1.4658176240436203,0.0010698929898995525,True,
0.0008254041852680173,0.0009906611886981906,1.581198931983471e-07,1.4564099270782316,0.0010666002732286066,True,
0.01,0.0009811155884341238,4.6430228727412e-09,5.407835630391455,0.005011869677062947,True,
