sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s,run_ok,run_error
1e-15,17.643764888899344,0.02313990075795401,44.88405429926445,0.02820101590229076,True,
1.21152765862859e-14,17.64376489428619,0.023139900757483234,44.88405423297557,0.028201015905924554,True,
1.4677992676220675e-13,17.64376483405006,0.023139900486690738,44.88405416051991,0.028201015933236595,True,
1.7782794100389228e-12,17.643757228880247,0.02313986049247026,44.88403865073968,0.028201020154086487,True,
2.1544346900318777e-11,17.642641184231216,0.023134023595546376,44.88181685692722,0.02820163707838224,True,
2.6101572156825333e-10,17.55552705434441,0.022601170463415733,44.76527394911162,0.028259165682137773,True,
3.1622776601683795e-09,17.322602791780774,0.019516595213192205,49.285873968657995,0.028670862833184825,True,
3.831186849557285e-08,16.99905685059482,0.010446807169418901,66.01072216042192,0.031786708593924566,True,
4.6415888336127725e-07,2.4255364772939414,0.002793180833296119,97.21765043867815,0.032301356760099355,True,
5.623413251903491e-06,0.043417947670976315,0.0002500078433291627,101.55673426944125,0.030618459570741857,True,
6.812920690579595e-05,0.0010433895160187167,1.5972066492547598e-05,101.68205636928494,0.030248771954803678,True,
0.0008254041852680173,0.0009843769997247996,6.305045205120627e-07,101.46208934612957,0.030154119130897675,True,
0.01,0.0009821024260783374,1.0799163501146974e-08,101.39341849915517,0.03014031710542511,True,
