component,x0_initial,x0_estimated
x_km,-274096770.76544,-274096785.6982871
y_km,-92859266.4499061,-92859518.38402355
z_km,-40199493.6677441,-40198856.18912859
vx_km_s,32.6704564599943,32.67075462760225
vy_km_s,-8.93838913761049,-8.937189775859444
vz_km_s,-3.87881914050316,-3.87955586168666
