t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
1.22290000000000000e+05,6.15152289129453675e+03,-5.12301395186983255e-01,1.58887474693821709e+01,2,1.99111256728286712e+01,3.20619008275047292e+02,3.62212686739518722e+03
1.22300000000000000e+05,6.14654451021831210e+03,-4.83059009992349908e-01,1.59491899513638860e+01,2,1.97010961575303121e+01,3.20890379764732756e+02,3.62217453323612790e+03
1.22310000000000000e+05,6.14186009119395749e+03,-4.53750255257088231e-01,1.60061890153006878e+01,2,1.94905263012797008e+01,3.21160926523226408e+02,3.62222204860311285e+03
1.22320000000000000e+05,6.13746989667048638e+03,-4.24376081070685807e-01,1.60597240369340248e+01,2,1.92794237807274236e+01,3.21430658134520229e+02,3.62226941099263058e+03
1.22330000000000000e+05,6.13337261621437210e+03,-3.94944655657650578e-01,1.61097756923659112e+01,2,1.90677962226731026e+01,3.21699584195436273e+02,3.62231661791131773e+03
1.22340000000000000e+05,6.12957174859045244e+03,-3.65462181909886219e-01,1.61563259849339715e+01,2,1.88556512045131370e+01,3.21967714314291584e+02,3.62236366687613190e+03
1.22350000000000000e+05,6.12606352450104987e+03,-3.35932856732802154e-01,1.61993582704226498e+01,2,1.86429962546974117e+01,3.22235058109613419e+02,3.62241055541456262e+03
1.22360000000000000e+05,6.12285238016859694e+03,-3.06358291076339662e-01,1.62388572805379638e+01,2,1.84298388531946564e+01,3.22501625208902169e+02,3.62245728106481693e+03
1.22370000000000000e+05,6.11993916830096168e+03,-2.76748056998787462e-01,1.62748091445797840e+01,2,1.82161864319661220e+01,3.22767425247441565e+02,3.62250384137601395e+03
1.22380000000000000e+05,6.11731683417068416e+03,-2.47108583300144402e-01,1.63072014092489113e+01,2,1.80020463754470548e+01,3.23032467867156015e+02,3.62255023390837232e+03
1.22390000000000000e+05,6.11499567805422339e+03,-2.17440640603761781e-01,1.63360230565319746e+01,2,1.77874260210357136e+01,3.23296762715513125e+02,3.62259645623340657e+03
1.22400000000000000e+05,6.11297103370570221e+03,-1.87753404231942089e-01,1.63612645196116695e+01,2,1.75723326595895628e+01,3.23560319444470679e+02,3.62264250593410543e+03
1.22410000000000000e+05,6.11124021562794678e+03,-1.58048895851071181e-01,1.63829176967561843e+01,2,1.73567735359282125e+01,3.23823147709467833e+02,3.62268838060512826e+03
1.22420000000000000e+05,6.10980796875603301e+03,-1.28333892853842169e-01,1.64009759631466956e+01,2,1.71407558493429200e+01,3.24085257168458440e+02,3.62273407785298514e+03
1.22430000000000000e+05,6.10867438047509313e+03,-9.86160964029508674e-02,1.64154341806082904e+01,2,1.69242867541122060e+01,3.24346657480986551e+02,3.62277959529622240e+03
1.22440000000000000e+05,6.10783387787151423e+03,-6.88990561583128075e-02,1.64262887052153879e+01,2,1.67073733600233076e+01,3.24607358307303002e+02,3.62282493056560816e+03
1.22450000000000000e+05,6.10729667988369056e+03,-3.91866080301375153e-02,1.64335373927492761e+01,2,1.64900227328992202e+01,3.24867369307521585e+02,3.62287008130431241e+03
1.22460000000000000e+05,6.10705226422502619e+03,-9.48408008762184444e-03,1.64371796019916232e+01,2,1.62722418951309997e+01,3.25126700140814592e+02,3.62291504516808891e+03
1.22470000000000000e+05,6.10710690679492654e+03,2.01986113179686150e-02,1.64372161958443179e+01,2,1.60540378262149837e+01,3.25385360464646851e+02,3.62295981982545345e+03
1.22480000000000000e+05,6.10745545541583488e+03,4.98577609489119430e-02,1.64336495402724800e+01,2,1.58354174632948226e+01,3.25643359934046543e+02,3.62300440295786393e+03
1.22490000000000000e+05,6.10810332647722680e+03,7.94934050471754194e-02,1.64264835010739247e+01,2,1.56163877017078576e+01,3.25900708200913300e+02,3.62304879225989316e+03
1.22500000000000000e+05,6.10904600984707304e+03,1.09092071285701711e-01,1.64157234384852515e+01,2,1.53969553955358265e+01,3.26157414913361151e+02,3.62309298543940713e+03
1.22510000000000000e+05,6.11028440624480118e+03,1.38653459227966375e-01,1.64013761996406231e+01,2,1.51771273581593888e+01,3.26413489715097114e+02,3.62313698021774144e+03
1.22520000000000000e+05,6.11181767868311636e+03,1.68172214100538037e-01,1.63834501089057269e+01,2,1.49569103628164761e+01,3.26668942244832863e+02,3.62318077432986502e+03
1.22530000000000000e+05,6.11364885945431797e+03,1.97638986610797568e-01,1.63619549561169215e+01,2,1.47363111431641407e+01,3.26923782135730676e+02,3.62322436552456202e+03
1.22540000000000000e+05,6.11577163561483940e+03,2.27054386295314437e-01,1.63369019827591870e+01,2,1.45153363938436435e+01,3.27178019014880874e+02,3.62326775156459007e+03
1.22550000000000000e+05,6.11818941988095594e+03,2.56409837881735936e-01,1.63083038661249091e+01,2,1.42939927710486767e+01,3.27431662502811093e+02,3.62331093022686218e+03
1.22560000000000000e+05,6.12089963186786827e+03,2.85700205791899420e-01,1.62761747014999933e+01,2,1.40722868930964378e+01,3.27684722213026362e+02,3.62335389930259589e+03
1.22570000000000000e+05,6.12390448926231875e+03,3.14919051549752749e-01,1.62405299824293330e+01,2,1.38502253410014244e+01,3.27937207751579479e+02,3.62339665659749517e+03
1.22580000000000000e+05,6.12719823253087543e+03,3.44063135883357629e-01,1.62013865791193084e+01,2,1.36278146590517313e+01,3.28189128716669927e+02,3.62343919993189775e+03
1.22590000000000000e+05,6.13078335262983819e+03,3.73129309100037720e-01,1.61587627150396500e+01,2,1.34050613553876694e+01,3.28440494698272119e+02,3.62348152714094977e+03
1.22600000000000000e+05,6.13465932315160080e+03,4.02107648925188854e-01,1.61126779417919330e+01,2,1.31819719025825854e+01,3.28691315277791034e+02,3.62352363607477309e+03
1.22610000000000000e+05,6.13882390266257880e+03,4.30998361440276923e-01,1.60631531123153941e+01,2,1.29585527382256878e+01,3.28941600027744528e+02,3.62356552459858176e+03
1.22620000000000000e+05,6.14328035881202231e+03,4.59792235044299114e-01,1.60102103525066859e+01,2,1.27348102655067059e+01,3.29191358511472743e+02,3.62360719059290022e+03
1.22630000000000000e+05,6.14802116312122143e+03,4.88490480695603857e-01,1.59538730313312769e+01,2,1.25107508538022785e+01,3.29440600282872481e+02,3.62364863195366888e+03
