sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s
1e-15,0.07890138617128815,0.000106257426882118,0.15268376617349108,8.320656431423643e-05
3.030271082866393e-15,0.07890138613976382,0.00010625742677803073,0.152683766103879,8.320656433112755e-05
9.182542835656301e-15,0.07890138585116596,0.00010625742582482238,0.1526837654675373,8.320656448737052e-05
2.782559402207126e-14,0.07890138320044011,0.0001062574170694281,0.15268375962249883,8.320656592347956e-05
8.431909292866251e-14,0.07890135886039197,0.00010625733667296632,0.15268370595093608,8.320657911074078e-05
2.5550970903525124e-13,0.07890113566034059,0.0001062565988271012,0.1526832135232926,8.320670017433666e-05
7.742636826811278e-13,0.0788991108908375,0.00010624985593175845,0.15267872571953733,8.320780994077659e-05
2.3462288481422625e-12,0.07888247178640795,0.00010619052530988675,0.15264019597711076,8.32178299866862e-05
7.109709432312424e-12,0.07882944777647188,0.00010578903724075235,0.1524237679430313,8.329303557709917e-05
2.1544346900318777e-11,0.07926475389831628,0.00010440777192559028,0.15203248547034212,8.351764106668793e-05
6.528521141127848e-11,0.07978468097374279,0.0001002824030209902,0.14989455257742795,8.353766164343722e-05
1.9783188827841623e-10,0.07241651110610595,8.464357063586211e-05,0.13490376148877378,8.024147771343726e-05
5.994842503189421e-10,0.04856734515336501,5.022114097417727e-05,0.09928797354978101,7.085837423202761e-05
1.8165997883753286e-09,0.02405211974260351,2.5848348508056734e-05,0.07924674628844423,6.50374997597967e-05
5.504789807854968e-09,0.012309915271329247,1.59647382854072e-05,0.0694046178554678,6.032514813656999e-05
1.6681005372000556e-08,0.007338176343369436,1.0395423992683207e-05,0.06393703345810298,5.738691759614825e-05
5.054796821191235e-08,0.005638001383766339,7.397922747078278e-06,0.0655748810373236,5.958364626312891e-05
1.5317404637020798e-07,0.004557970305431916,5.8830139391150035e-06,0.07398935097449501,6.360839553409642e-05
4.6415888336127725e-07,0.0026661452491853186,4.7923450151203864e-06,0.11449032675247525,9.383118073985475e-05
1.4065272421052336e-06,0.0012639416049020978,3.5207541377830055e-06,0.23817539766796123,0.00021388245628511067
4.262158829015325e-06,0.001002781063634466,1.996665770202174e-06,0.3072628330729974,0.00026779703046333445
1.2915496650148827e-05,0.0009851758304731029,1.089187701189093e-06,0.30251538475138623,0.00024927593703214087
3.913745601980376e-05,0.0009843697965997583,7.449061175145983e-07,0.2963707866583306,0.0002306991970665285
0.00011859710123376657,0.0009843195905181298,3.9056237575747076e-07,0.29652610490519654,0.00021962286496499957
0.00035938136638046257,0.0009842967026341448,9.003028052058314e-08,0.29175530523232984,0.00020348094076569386
0.0010890229622637284,0.000984288695199203,1.244793002284056e-08,0.28914110948266114,0.0001964992287908067
0.003300034791125275,0.0009842665518332604,5.07860073357931e-09,0.3248736307200445,0.0001966793546794038
0.01,0.0009840727696709187,4.90349516401532e-09,1.6480817766047373,0.0009436369014143757
