epoch_hr,state,sigma_linear,mean_mc,nominal
0.0,x_km,1.0,6743.261921784204,6743.25
0.0,y_km,1.0,0.041123128711017094,0.0
0.0,z_km,1.0,0.004781428529056444,0.0
0.0,vx_km_s,0.001,1.4976748469054665e-05,-0.0
0.0,vy_km_s,0.001,6.6616527125378875,6.661651783670155
0.0,vz_km_s,0.001,3.8461224662670968,3.846106450549514
4.0,x_km,48.37210099612065,-5045.82740094223,-5045.297279828675
4.0,y_km,42.21967080074843,-3845.1176800162,-3846.0589547899276
4.0,z_km,23.85277688640109,-2276.3967420293234,-2276.940384902571
4.0,vx_km_s,0.05935730107125532,5.100242595107112,5.101422978882345
4.0,vy_km_s,0.04160517946356726,-5.015082807992502,-5.01468775332432
4.0,vz_km_s,0.024826458931950277,-2.834016244790472,-2.833747841011528
8.0,x_km,127.0458429632668,820.5799442059285,818.747780726161
8.0,y_km,12.716899374271666,5788.337987251146,5789.627820125502
8.0,z_km,4.395515904488164,3353.757926938501,3354.4506086459814
8.0,vx_km_s,0.01920580742643831,-7.631656544003564,-7.633449025317056
8.0,vy_km_s,0.12669769443212472,0.8883449719549444,0.8866172942624994
8.0,vz_km_s,0.07379660747125233,0.3304062958487567,0.3293403327008231
12.0,x_km,164.07867708651355,3822.9976119614807,3827.3092202326234
12.0,y_km,97.24768261968492,-4867.866867497338,-4868.6479723502425
12.0,z_km,62.03111127706868,-2664.4444078029132,-2664.723045667968
12.0,vx_km_s,0.12850957391305282,6.328048691606621,6.329031520649755
12.0,vy_km_s,0.16394074316603854,3.681637847291824,3.6858004714723354
12.0,vz_km_s,0.09018209904247915,2.34787500644159,2.3503297364635265
16.0,x_km,58.381475610366664,-6532.172326136412,-6538.315062541642
16.0,y_km,220.2742738341374,1536.7763410136001,1534.5980661616102
16.0,z_km,129.77693905519556,571.9948117029536,570.4253685538753
16.0,vx_km_s,0.29014344740247366,-1.8444148208681563,-1.8417156075821386
16.0,vy_km_s,0.07130904796936899,-6.431862436253469,-6.4380519250937835
16.0,vz_km_s,0.0272978945816376,-3.788676265013759,-3.792120732651536
20.0,x_km,153.00662396344444,5956.337727637019,5961.439446569447
20.0,y_km,254.91345097908354,2559.5525336706773,2566.664905489656
20.0,z_km,137.54419500234803,1821.9411348436602,1826.3560144429928
20.0,vx_km_s,0.33097814268738307,-3.563832274996723,-3.573317786837587
20.0,vy_km_s,0.1428808698966338,5.991301108307115,5.99663490336129
20.0,vz_km_s,0.102111628428496,3.2283719045466834,3.2308682929206967
24.0,x_km,373.4035383522601,-2376.8490564504023,-2375.49886546156
24.0,y_km,130.7762547251311,-5388.521886160391,-5400.430471184636
24.0,z_km,48.35893627068146,-3252.1535375152375,-3258.9070405066623
24.0,vx_km_s,0.16177465914354808,7.167854841046308,7.183407923407927
24.0,vy_km_s,0.36156597394491824,-2.57948439727928,-2.5789823708597277
24.0,vz_km_s,0.21944591407259717,-0.9659593131814072,-0.9645365954106088
