sigma_kmps2,postfit_rho_rms_km,postfit_rhod_rms_km_s,postfit_total_rms,pos3_rms_km,vel3_rms_km_s,snc_trace_mean,snc_trace_max,snc_trace_total
1e-15,1042.227927475374,1.2305542602268058,1042.2286539303159,3102.1064671472836,1.1401819456014644,7.725616813287462e-18,3.4830963950827193e-14,4.7327128598199e-14
1e-14,1009.3157187795939,1.2479218853975382,1009.3164902470377,3136.900660549036,1.1706325820627468,7.725616813287461e-16,3.48309639508272e-12,4.732712859819899e-12
1e-13,906.9791391021872,1.3041144764653776,906.9800766726427,3285.810988050426,1.2943408032774324,7.725616813287462e-14,3.483096395082719e-10,4.732712859819899e-10
1e-12,775.8682215936357,1.3228710174942682,775.8693493537428,3669.876297512338,1.5245960323073242,7.725616813287464e-12,3.48309639508272e-08,4.7327128598199005e-08
1e-11,722.0858244655634,1.1496979026218146,722.0867397337938,5649.887632332404,2.7033191429763836,7.725616813287464e-10,3.48309639508272e-06,4.7327128598199005e-06
1e-10,639.7611039934621,0.5836202004799262,639.7613701963191,10979.851676390957,6.038312791706769,7.725616813287464e-08,0.00034830963950827196,0.00047327128598199003
1e-09,190.6893234818042,0.3463100485652343,190.68963794762908,14330.869072313822,8.380808955254341,7.725616813287464e-06,0.0348309639508272,0.04732712859819901
1e-08,11.177842006024289,0.0829537403090793,11.178149812677974,37470.30295889475,11.569521136593776,0.0007725616813287461,3.483096395082719,4.732712859819898
1e-07,0.13482673722342187,0.006032212390298773,0.13496161178881694,33028.399036064366,11.325902475520305,0.07725616813287461,348.3096395082719,473.2712859819899
1e-06,0.008097911611840017,9.723699716805423e-05,0.00809849538536583,16810.29549851915,8.999951988311377,7.72561681328746,34830.96395082719,47327.12859819898
1e-05,0.0075712735277816785,1.0165814305200754e-06,0.0075712735960289735,16807.750485602242,8.997902675893629,772.5616813287465,3483096.3950827206,4732712.859819901
0.0001,0.0783103324714593,4.7122696280310435e-07,0.07831033247287701,122759.37005624862,32.735448062950255,77256.16813287465,348309639.508272,473271285.9819901
0.001,0.011874316736930608,5.984574311148885e-08,0.011874316737081421,20949.46715055749,11.583095633430933,7725616.813287461,34830963950.82721,47327128598.19899
0.01,0.009986640776359398,1.8961139337731908e-05,0.009986658776630401,15225181.231349627,7813.717914470198,772561681.3287464,3483096395082.7207,4732712859819.9
