case,day_target,day_selected,BdotT_km,BdotR_km,sigma_T_km,sigma_R_km
Forward Station IEKF,50.0,51.791666666666664,10458.841707235897,15183.788106514321,376.81764726798576,151.72825070581266
Forward Station IEKF,100.0,98.65972222222223,9752.689443401281,14985.060336704773,127.05684605905584,50.473448530788815
Forward Station IEKF,150.0,150.0,9471.057242554405,14887.385990161047,283.29659592942824,109.78349840514828
Forward Station IEKF,200.0,201.5,9769.196502167757,15082.954869862138,29.73865944960658,56.7308761861428
Forward Station IEKF,250.0,247.4162962962963,9798.709189595478,8120.858854831052,18.95356058943672,36.81220524760812
