epoch_hr,state,sigma_ukf,mean_mc,nominal
0.0,x_km,1.0,6743.261921784204,6743.25
0.0,y_km,1.0,0.041123128711017094,0.0
0.0,z_km,1.0,0.004781428529056444,0.0
0.0,vx_km_s,0.001,1.4976748469054665e-05,-0.0
0.0,vy_km_s,0.001,6.6616527125378875,6.661651783670155
0.0,vz_km_s,0.001,3.8461224662670968,3.846106450549514
4.0,x_km,48.12974437450184,-5045.82740094223,-5045.061231421581
4.0,y_km,42.06256095215246,-3845.1176800162,-3845.862103707243
4.0,z_km,23.764900119170726,-2276.3967420293234,-2276.8233259280537
4.0,vx_km_s,0.05906599459200099,5.100242595107112,5.101195820850475
4.0,vy_km_s,0.04142168168895733,-5.015082807992502,-5.014407764042372
4.0,vz_km_s,0.02471661983351381,-2.834016244790472,-2.8335878586911956
8.0,x_km,117.3602626984745,820.5799442059285,818.6787649462458
8.0,y_km,12.712889378496069,5788.337987251146,5788.709990826333
8.0,z_km,4.726795763844899,3353.757926938501,3353.916744313052
8.0,vx_km_s,0.017707900336106006,-7.631656544003564,-7.6322785317447135
8.0,vy_km_s,0.11708154710098485,0.8883449719549444,0.8865018885562886
8.0,vz_km_s,0.06818637905289424,0.3304062958487567,0.3293012300332691
12.0,x_km,117.25756052382468,3822.9976119614807,3826.3127329148624
12.0,y_km,66.61155311137622,-4867.866867497338,-4867.7197734671345
12.0,z_km,42.65029553484124,-2664.4444078029132,-2664.220647385631
12.0,vx_km_s,0.09160536776917087,6.328048691606621,6.327814758387771
12.0,vy_km_s,0.11393323121252207,3.681637847291824,3.6847819420333967
12.0,vz_km_s,0.06261141713333557,2.34787500644159,2.349695688505105
16.0,x_km,26.124312555230944,-6532.172326136412,-6537.45525814081
16.0,y_km,86.32987171061234,1536.7763410136001,1534.8702000139438
16.0,z_km,50.95994059800856,571.9948117029536,570.6223977665397
16.0,vx_km_s,0.11285655850057033,-1.8444148208681563,-1.842107451152772
16.0,vy_km_s,0.028283173166004563,-6.431862436253469,-6.437149964505646
16.0,vz_km_s,0.011281131562083309,-3.788676265013759,-3.7916174215914507
20.0,x_km,23.082500443663406,5956.337727637019,5961.76384873189
20.0,y_km,38.34194833156253,2559.5525336706773,2565.805159596739
20.0,z_km,20.856092106885495,1821.9411348436602,1825.8815258553016
20.0,vx_km_s,0.04985329539189526,-3.563832274996723,-3.572182033665625
20.0,vy_km_s,0.023134172086396104,5.991301108307115,5.996935437192879
20.0,vz_km_s,0.016091012374026794,3.2283719045466834,3.2311082762574292
24.0,x_km,57.398602369359416,-2376.8490564504023,-2376.856865601528
24.0,y_km,23.177673833952415,-5388.521886160391,-5399.704761594801
24.0,z_km,9.537103019310582,-3252.1535375152375,-3258.587557954338
24.0,vx_km_s,0.022974872137584253,7.167854841046308,7.18247775495937
24.0,vy_km_s,0.05640608020479595,-2.57948439727928,-2.5802937030255984
24.0,vz_km_s,0.03395208821872949,-0.9659593131814072,-0.9653551109549083
