case,day_target,day_selected,BdotT_km,BdotR_km,sigma_T_km,sigma_R_km
Forward IEKF Stop-Start,50.0,51.791666666666664,-38851.0347796313,-740.047329043394,9629.680620946521,3304.6736864840636
Forward IEKF Stop-Start,100.0,98.65972222222223,7995.774104556003,14124.623155872509,119.56955474360068,44.924972904890865
Forward IEKF Stop-Start,150.0,150.0,-7674.7572186340385,9757.982156025426,275.92341581561993,97.11424761548759
Forward IEKF Stop-Start,200.0,201.5,6235.82892197163,13452.804051547371,1121.5772030263108,1639.7956805784954
Forward IEKF Stop-Start,250.0,247.4162962962963,8944.720480676755,8043.2367383319515,18.327971596079944,35.698717567759786
