label,t0_s,BdotT_km,BdotR_km,rp_km,rp_alt_km,sigma_T_km,sigma_R_km
Forward IEKF,21376768.0,8943.7257996495,6312.782633952418,7858.008399819984,1479.8720998199842,79.11236176002491,229.8355676303427
Smoothed IEKF,21376768.0,8943.7257996495,6312.782633952418,7858.008399819984,1479.8720998199842,79.11236176002491,229.8355676303427
