label,BdotT_km,BdotR_km,rp_km,rp_alt_km,sigma_T_km,sigma_R_km
Forward IEKF,9013.13180290534,7896.774845471642,8843.897853025757,2465.761553025757,18.345704162136858,35.85323654689103
Smoothed IEKF,9013.13180290534,7896.774845471642,8843.897853025757,2465.761553025757,18.345704162136858,35.85323654689103
